category,title,publisher,year,type,link,authors,code,,,
Survey Papers,Machine Learning for Electronic Design Automation (EDA) : A Survey,TODAES,2021,journal,https://arxiv.org/abs/2102.03357,"Guyue Huang, Jingbo Hu, Yifan He, Jialong Liu, Mingyuan Ma, Zhaoyang Shen, Juejian Wu, Yuanfan Xu, Hengrui Zhang, Kai Zhong, others",,,,
Survey Papers,Neural Networks for Combinatorial Optimization: A Review of More Than a Decade of Research,INFORMS Journal on Computing,1999,journal,https://pubsonline.informs.org/doi/abs/10.1287/ijoc.11.1.15,Kate A. Smith,,,,
Survey Papers,⭐A Survey for Solving Mixed Integer Programming via Machine Learning,Neurocomputing,2022,journal,https://www.sciencedirect.com/science/article/pii/S0925231222014035,"Jiayi Zhang, Chang Liu, Xijun Li, Hui-Ling Zhen, Mingxuan Yuan, Yawen Li, Junchi Yan",,,,
Survey Papers,Survey on Neural Routing Solvers,Arxiv,2026,paper,https://arxiv.org/abs/2602.21761,"Yunpeng Ba, Xi Lin, Changliang Zhou, Ruihao Zheng, Zhenkun Wang, Xinyan Liang, Zhichao Lu, Jianyong Sun, Yuhua Qian, Qingfu Zhang",,,,
Survey Papers;Job Shop Scheduling Problem;Sorting & Ranking,Applicability of Neural Combinatorial Optimization: A Critical View,TELO,2024,journal,https://dl.acm.org/doi/pdf/10.1145/3647644,"Andoni I. Garmendia, Josu Ceberio, Alexander Mendiburu",https://github.com/TheLeprechaun25/Applicability-NCO,,,
Graph Matching; Quadratic Assignment Problem,Revised Note on Learning Algorithms for Quadratic Assignment with Graph Neural Networks,Arxiv,2017,paper,https://arxiv.org/pdf/1706.07450.pdf,"Alex Nowak, Soledad Villar, S. Afonso Bandeira, Joan Bruna",https://github.com/alexnowakvila/QAP_pt,,,
Graph Matching,Deep Learning of Graph Matching.,CVPR,2018,paper,https://openaccess.thecvf.com/content_cvpr_2018/html/Zanfir_Deep_Learning_of_CVPR_2018_paper.html,"Andrei Zanfir, Cristian Sminchisescu",,,,
Graph Matching,⭐Learning Combinatorial Embedding Networks for Deep Graph Matching.,ICCV,2019,paper,http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Learning_Combinatorial_Embedding_Networks_for_Deep_Graph_Matching_ICCV_2019_paper.pdf,"Runzhong Wang, Junchi Yan, Xiaokang Yang",https://github.com/Thinklab-SJTU/ThinkMatch,,,
Graph Matching,Deep Graphical Feature Learning for the Feature Matching Problem.,ICCV,2019,paper,https://openaccess.thecvf.com/content_ICCV_2019/papers/Zhang_Deep_Graphical_Feature_Learning_for_the_Feature_Matching_Problem_ICCV_2019_paper.pdf,"Zhen Zhang, Wee Sun Lee",,,,
Graph Matching,GLMNet: Graph Learning-Matching Networks for Feature Matching.,Arxiv,2019,paper,https://arxiv.org/abs/1911.07681,"Bo Jiang, Pengfei Sun, Jin Tang, Bin Luo",,,,
Graph Matching; Quadratic Assignment Problem,⭐Neural Graph Matching Network: Learning Lawler's Quadratic Assignment Problem with Extension to Hypergraph and Multiple-graph Matching.,TPAMI,2021,paper,https://arxiv.org/abs/1911.11308,"Runzhong Wang, Junchi Yan, Xiaokang Yang",https://github.com/Thinklab-SJTU/ThinkMatch,,,
Graph Matching,⭐Learning deep graph matching with channel-independent embedding and Hungarian attention.,ICLR,2020,paper,https://openreview.net/forum?id=rJgBd2NYPH,"Tianshu Yu, Runzhong Wang, Junchi Yan, Baoxin Li",https://github.com/Thinklab-SJTU/ThinkMatch,,,
Graph Matching,Deep Graph Matching Consensus.,ICLR,2020,paper,http://arxiv.org/abs/2001.09621,"Matthias Fey, Jan E. Lenssen, Christopher Morris, Jonathan Masci, Nils M. Kriege",,,,
Graph Matching,⭐Graduated Assignment for Joint Multi-Graph Matching and Clustering with Application to Unsupervised Graph Matching Network Learning.,NeurIPS,2020,paper,https://papers.NeurIPS.cc/paper/2020/file/e6384711491713d29bc63fc5eeb5ba4f-Paper.pdf,"Runzhong Wang, Junchi Yan, Xiaokang Yang",https://github.com/Thinklab-SJTU/ThinkMatch,,,
Graph Matching,⭐Combinatorial Learning of Robust Deep Graph Matching: An Embedding Based Approach.,TPAMI,2020,paper,https://doi.org/10.1109/TPAMI.2020.3005590,"Runzhong Wang, Junchi Yan, Xiaokang Yang",https://github.com/Thinklab-SJTU/ThinkMatch,,,
Graph Matching,Deep Graph Matching via Blackbox Differentiation of Combinatorial Solvers.,ECCV,2020,paper,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123730409.pdf,"Michal Rolinek, Paul Swoboda, Dominik Zietlow, Anselm Paulus, Vit Musil, Georg Martius",https://github.com/martius-lab/blackbox-deep-graph-matching,,,
Graph Matching; Quadratic Assignment Problem,⭐Revocable Deep Reinforcement Learning with Affinity Regularization for Outlier-Robust Graph Matching.,ICLR,2023,paper,https://openreview.net/forum?id=QjQibO3scV_,"Chang Liu, Zetian Jiang, Runzhong Wang, Junchi Yan, Lingxiao Huang, Pinyan Lu",https://github.com/Thinklab-SJTU/RGM,,,
Graph Matching,⭐Deep Latent Graph Matching,ICML,2021,paper,http://proceedings.mlr.press/v139/yu21d/yu21d.pdf,"Tianshu Yu, Runzhong Wang, Junchi Yan, Baoxin Li",,,,
Graph Matching,IA-GM: A Deep Bidirectional Learning Method for Graph Matching,AAAI,2021,paper,https://ojs.aaai.org/index.php/AAAI/article/view/16461/16268,"Kaixuan Zhao, Shikui Tu, Lei Xu",,,,
Graph Matching,Deep Graph Matching under Quadratic Constraint,CVPR,2021,paper,https://openaccess.thecvf.com/content/CVPR2021/papers/Gao_Deep_Graph_Matching_Under_Quadratic_Constraint_CVPR_2021_paper.pdf,"Quankai Gao, Fudong Wang, Nan Xue, Jin-Gang Yu, Gui-Song Xia",,,,
Graph Matching,GAMnet: Robust Feature Matching via Graph Adversarial-Matching Network,MM,2021,paper,https://dl.acm.org/doi/pdf/10.1145/3474085.3475669,"Bo Jiang, Pengfei Sun, Ziyan Zhang, Jin Tang, Bin Luo",,,,
Graph Matching,Hypergraph Neural Networks for Hypergraph Matching,ICCV,2021,paper,https://openaccess.thecvf.com/content/ICCV2021/papers/Liao_Hypergraph_Neural_Networks_for_Hypergraph_Matching_ICCV_2021_paper.pdf,"Xiaowei Liao, Yong Xu, Haibin Ling",,,,
Graph Matching,"⭐Appearance and Structure Aware Robust Deep Visual Graph Matching: Attack, Defense and Beyond",CVPR,2022,paper,https://openaccess.thecvf.com/content/CVPR2022/papers/Ren_Appearance_and_Structure_Aware_Robust_Deep_Visual_Graph_Matching_Attack_CVPR_2022_paper.pdf,"Qibing Ren, Qingquan Bao, Runzhong Wang, Junchi Yan",https://github.com/Thinklab-SJTU/RobustMatch,,,
Graph Matching,⭐Self-supervised Learning of Visual Graph Matching,ECCV,2022,paper,https://link.springer.com/chapter/10.1007/978-3-031-20050-2_22,"Chang Liu, Shaofeng Zhang, Xiaokang Yang, Junchi Yan",https://github.com/Thinklab-SJTU/ThinkMatch-SCGM,,,
Graph Matching,Learning to Match Features with Seeded Graph Matching Network,ICCV,2021,paper,https://openaccess.thecvf.com/content/ICCV2021/html/Chen_Learning_To_Match_Features_With_Seeded_Graph_Matching_Network_ICCV_2021_paper.html,"Hongkai Chen, Zixin Luo, Jiahui Zhang, Lei Zhou, Xuyang Bai, Zeyu Hu, Chiew-Lan Tai, Long Quan",,,,
Graph Matching,SeedGNN: Graph Neural Network for Supervised Seeded Graph Matching,ICML,2023,paper,https://icml.cc/virtual/2023/poster/24282,"Liren Yu, Jiaming Xu, Xiaojun Lin",,,,
Graph Matching,D2Match: Leveraging Deep Learning and Degeneracy for Subgraph Matching,ICML,2023,paper,https://icml.cc/virtual/2023/poster/24358,"Xuan Liu, Lin Zhang, Jiaqi Sun, Yujiu Yang, Haiqing Yang",,,,
Graph Matching; Travelling Salesman Problem; Portfolio Optimization,⭐LinSATNet: The Positive Linear Satisfiability Neural Networks,ICML,2023,paper,https://icml.cc/virtual/2023/poster/25110,"Runzhong Wang, Yunhao Zhang, Ziao Guo, Tianyi Chen, Xiaokang Yang, Junchi Yan",https://github.com/Thinklab-SJTU/LinSATNet,,,
Graph Matching,LVM-Med: Learning Large-Scale Self-Supervised Vision Models for Medical Imaging via Second-order Graph Matching,NeurIPS,2023,paper,https://openreview.net/forum?id=xE7oH5iVGK,"Duy MH Nguyen, Hoang Nguyen, Nghiem T Diep, Tan N Pham, Tri Cao, Binh T Nguyen, Paul Swoboda, Nhat Ho, Shadi Albarqouni, Pengtao Xie, others",https://github.com/duyhominhnguyen/LVM-Med,,,
Graph Matching,Improving Graph Matching with Positional Reconstruction Encoder-Decoder Network,NeurIPS,2023,paper,https://openreview.net/forum?id=28RTu9MOT6,"Yixiao Zhou, Ruiqi Jia, Hongxiang Lin, Hefeng Quan, Yumeng Zhao, Xiaoqing Lyu",,,,
Graph Matching,Learning to Prune Instances of Steiner Tree Problem in Grap,INOC,2024,paper,https://openproceedings.org/2024/conf/inoc/INOC_31.pdf,"Jiwei Zhang, Dena Tayebi, Saurabh Ray, Deepak Ajwani",https://github.com/dajwani/alenex22,,,
Quadratic Assignment Problem,⭐Towards Quantum Machine Learning for Constrained Combinatorial Optimization: a Quantum QAP Solver,ICML,2023,paper,https://icml.cc/virtual/2023/poster/24148,"Xinyu Ye, Ge Yan, Junchi Yan",,,,
Travelling Salesman Problem; Maximal Cut,Learning Combinatorial Optimization Algorithms over Graphs.,NeurIPS,2017,paper,https://arxiv.org/abs/1704.01665,"Hanjun Dai, Elias B Khalil, Yuyu Zhang, Bistra Dilkina, Le Song",,,,
Travelling Salesman Problem,POMO: Policy Optimization with Multiple Optima for Reinforcement Learning.,NeurIPS,2020,paper,https://arxiv.org/abs/2010.16011,"Yeong-Dae Kwon, Jinho Choo, Byoungjip Kim, Iljoo Yoon, Seungjai Min, Youngjune Gwon",https://github.com/yd-kwon/POMO/,,,
Travelling Salesman Problem,Learning Heuristics for the TSP by Policy Gradient,CPAIOR,2018,paper,https://link.springer.com/chapter/10.1007/978-3-319-93031-2_12,Michel DeudonPierre CournutAlexandre Lacoste,https://github.com/MichelDeudon/encode-attend-navigate,,,
Travelling Salesman Problem,"Attention, Learn to Solve Routing Problems!",ICLR,2019,paper,https://arxiv.org/abs/1803.08475,"Wouter Kool, Herke Van Hoof, Max Welling",,,,
Travelling Salesman Problem,Learning to Solve NP-Complete Problems: A Graph Neural Network for Decision TSP.,AAAI,2019,paper,https://ojs.aaai.org/index.php/AAAI/article/view/4399,"Marcelo Prates, Pedro HC Avelar, Henrique Lemos, Luis C Lamb, Moshe Y. Vardi",,,,
Travelling Salesman Problem,An Efficient Graph Convolutional Network Technique for the Travelling Salesman Problem,Arxiv,2019,paper,https://arxiv.org/abs/1906.01227,"Chaitanya K. Joshi, Thomas Laurent, Xavier Bresson",https://github.com/chaitjo/graph-convnet-tsp,,,
Travelling Salesman Problem,Generalize a Small Pre-trained Model to Arbitrarily Large TSP Instances.,Arxiv,2020,paper,https://arxiv.org/abs/2012.10658,"Zhang-Hua Fu, Kai-Bin Qiu, Hongyuan Zha",,,,
Travelling Salesman Problem,Deep Reinforcement Learning for Combinatorial Optimization: Covering Salesman Problems.,IEEE Trans Cybern,2021,journal,https://arxiv.org/abs/2102.05875,"Kaiwen Li, Tao Zhang, Rui Wang Yuheng Wang, Yi Han",,,,
Travelling Salesman Problem,The Transformer Network for the Traveling Salesman Problem,IPAM,2021,paper,http://helper.ipam.ucla.edu/publications/dlc2021/dlc2021_16703.pdf,Xavier Bresson，Thomas Laurent,,,,
Travelling Salesman Problem; Vehicle Routing Problem,Learning Improvement Heuristics for Solving Routing Problems,TNNLS,2021,journal,https://ieeexplore.ieee.org/abstract/document/9393606?casa_token=mFeyLmrOGfIAAAAA:nmAkjUaTSooYurWHuWGYNoguV453anw9Enyv45xG5jb2oCps6QE4A1CFe1EmFmTzbON6cL5maw,"Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang, Andrew Lim",,,,
Travelling Salesman Problem; Maximal Cut,Reversible Action Design for Combinatorial Optimization with Reinforcement Learning,Arxiv,2021,paper,https://arxiv.org/abs/2102.07210,"Fan Yao, Renqin Cai, Hongning Wang",,,,
Travelling Salesman Problem,Solving Dynamic Traveling Salesman Problems with Deep Reinforcement Learning.,TNNLS,2021,journal,https://ieeexplore.ieee.org/document/9537638,"Zizhen Zhang, Hong Liu, Meng Chu Zhou, Jiahai Wang",,,,
Travelling Salesman Problem; Job Shop Scheduling Problem,ScheduleNet: Learn to Solve Multi-agent Scheduling Problems with Reinforcement Learning,Arxiv,2021,paper,https://arxiv.org/abs/2106.03051,"Junyoung Park, Sanjar Bakhtiyar, Jinkyoo Park",,,,
Travelling Salesman Problem,DAN: Decentralized Attention-based Neural Network to Solve the MinMax Multiple Traveling Salesman Problem,Arxiv,2021,paper,https://arxiv.org/abs/2109.04205,"Yuhong Cao, Zhanhong Sun, Guillaume Sartoretti",,,,
Travelling Salesman Problem,A Reinforcement Learning Approach for Optimizing Multiple Traveling Salesman Problems over Graphs,KBS,2020,journal,https://www.sciencedirect.com/science/article/pii/S0950705120304445,"Yujiao Hu, Yuan Yao, Wee Sun Lee",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Reinforcement Learning for Route Optimization with Robustness Guarantees,IJCAI,2021,paper,https://www.ijcai.org/proceedings/2021/0357.pdf,"Tobias Jacobs, Francesco Alesiani, Gulcin Ermis",,,,
Travelling Salesman Problem,Learning 2-opt Heuristics for the Traveling Salesman Problem via Deep Reinforcement Learning,ACML,2020,paper,http://proceedings.mlr.press/v129/costa20a,"d O Costa, Paulo R, Jason Rhuggenaath, Yingqian Zhang, Alp Akcay",https://github.com/paulorocosta/learning-2opt-drl,,,
Travelling Salesman Problem,The First AI4TSP Competition: Learning to Solve Stochastic Routing Problems,Arxiv,2022,paper,https://arxiv.org/abs/2201.10453,"Laurens Bliek, Paulo da Costa, Reza Refaei Afshar, Yingqian Zhang, Tom Catshoek, Daniel Vos, Sicco Verwer, Fynn Schmitt-Ulms, Andre Hottung, Tapan Shah, others",https://github.com/paulorocosta/ai-for-tsp-competition,,,
Travelling Salesman Problem,Graph Neural Network Guided Local Search for the Traveling Salesperson Problem,ICLR,2022,paper,https://openreview.net/forum?id=ar92oEosBIg,"Benjamin Hudson, Qingbiao Li, Matthew Malencia, Amanda Prorok",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Preference Conditioned Neural Multi-objective Combinatorial Optimization,ICLR,2022,paper,https://openreview.net/forum?id=QuObT9BTWo,"Xi Lin, Zhiyuan Yang, Qingfu Zhang",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Learning Generalizable Models for Vehicle Routing Problems via Knowledge Distillation,NeurIPS,2022,paper,https://openreview.net/forum?id=sOVNpUEgKMp,"Jieyi Bi, Yining Ma, Jiahai Wang, Zhiguang Cao, Jinbiao Chen, Yuan Sun, Yeow Meng Chee",https://github.com/jieyibi/AMDKD,,,
Travelling Salesman Problem,DIMES: A Differentiable Meta Solver for Combinatorial Optimization Problems,NeurIPS,2022,paper,https://openreview.net/forum?id=9u05zr0nhx,"Ruizhong Qiu, Zhiqing Sun, Yiming Yang",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Sym-NCO: Leveraging Symmetricity for Neural Combinatorial Optimization,NeurIPS,2022,paper,https://openreview.net/forum?id=kHrE2vi5Rvs,"Minsu Kim, Junyoung Park, Jinkyoo Park",https://github.com/alstn12088/Sym-NCO,,,
Travelling Salesman Problem; Vehicle Routing Problem,Simulation-guided Beam Search for Neural Combinatorial Optimization,NeurIPS,2022,paper,https://openreview.net/forum?id=tYAS1Rpys5,"Jinho Choo, Yeong-Dae Kwon, Jihoon Kim, Jeongwoo Jae, Andr{\'e} Hottung, Kevin Tierney, Youngjune Gwon",https://github.com/yd-kwon/SGBS,,,
Travelling Salesman Problem; Vehicle Routing Problem,Learning to CROSS exchange to solve min-max vehicle routing problems,ICLR,2023,paper,https://openreview.net/forum?id=ZcnzsHC10Y,"Minjun Kim, Junyoung Park, Jinkyoo Park",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Generalize Learned Heuristics to Solve Large-scale Vehicle Routing Problems in Real-time,ICLR,2023,paper,https://openreview.net/forum?id=6ZajpxqTlQ,"Qingchun Hou, Jingwei Yang, Yiqiang Su, Xiaoqing Wang, Yuming Deng",,,,
Travelling Salesman Problem; Maximum Independent Set; Generalization,⭐ROCO: A General Framework for Evaluating Robustness of Combinatorial Optimization Solvers on Graphs,ICLR,2023,paper,https://openreview.net/forum?id=2r6YMqz4Mml,"Han Lu, Zenan Li, Runzhong Wang, Qibing Ren, Xijun Li, Mingxuan Yuan, Jia Zeng, Xiaokang Yang, Junchi Yan",https://github.com/Thinklab-SJTU/ROCO,,,
Travelling Salesman Problem,Pointerformer: Deep Reinforced Multi-Pointer Transformer for the Traveling Salesman Problem,Arxiv,2023,paper,https://arxiv.org/abs/2304.09407,"Yan Jin, Yuandong Ding, Xuanhao Pan, Kun He, Li Zhao, Tao Qin, Lei Song, Jiang Bian",https://github.com/Pointerformer/Pointerformer,,,
Travelling Salesman Problem,H-tsp: Hierarchically solving the large-scale traveling salesman problem,AAAI,2023,paper,https://www.microsoft.com/en-us/research/publication/h-tsp-hierarchically-solving-the-large-scale-traveling-salesman-problem/,"Xuanhao Pan, Yan Jin, Yuandong Ding, Mingxiao Feng, Li Zhao, Lei Song, Jiang Bian",https://github.com/Learning4Optimization-HUST/H-TSP,,,
Travelling Salesman Problem,Select and Optimize: Learning to solve large-scale TSP instances,AISTATS,2023,paper,https://proceedings.mlr.press/v206/cheng23a.html,"Hanni Cheng, Haosi Zheng, Ya Cong, Weihao Jiang, Shiliang Pu",,,,
Travelling Salesman Problem,Multi-View Graph Contrastive Learning for Solving Vehicle Routing Problems,UAI,2023,paper,https://openreview.net/pdf?id=Z-mRKVaxVU3,"Yuan Jiang, Zhiguang Cao, Yaoxin Wu, Jie Zhang",,,,
Travelling Salesman Problem; Maximum Independent Set; Maximal Cut,Revisiting Sampling for Combinatorial Optimization,ICML,2023,paper,https://icml.cc/virtual/2023/poster/23661,"Haoran, Goshvadi Katayoon, Nova Azade, Schuurmans Dale Sun, Dai Hanjun.",,,,
Travelling Salesman Problem; Vehicle Routing Problem; Orienteering Problem,Meta-SAGE: Scale Meta-Learning Scheduled Adaptation with Guided Exploration for Mitigating Scale Shift on Combinatorial Optimization,ICML,2023,paper,https://icml.cc/virtual/2023/poster/25138,"Jiwoo Son, Minsu Kim, Hyeonah Kim, Jinkyoo Park",,,,
Travelling Salesman Problem; Vehicle Routing Problem; Generalization,Towards Omni-generalizable Neural Methods for Vehicle Routing Problems,ICML,2023,paper,https://icml.cc/virtual/2023/poster/25267,"Zhou Jianan, Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang",https://github.com/RoyalSkye/Omni-VRP,,,
Travelling Salesman Problem; Maximum Independent Set,DIFUSCO: Graph-based Diffusion Solvers for Combinatorial Optimization,NeurIPS,2023,paper,https://openreview.net/forum?id=JV8Ff0lgVV,"Zhiqing Sun, Yiming Yang",https://github.com/Edward-Sun/DIFUSCO,,,
Travelling Salesman Problem; Vehicle Routing Problem;Orienteering Problem;Job Shop Scheduling Problem;Knapsack,DeepACO: Neural-enhanced Ant Systems for Combinatorial Optimization,NeurIPS,2023,paper,https://openreview.net/forum?id=cd5D1DD923,"Haoran Ye, Jiarui Wang, Zhiguang Cao, Helan Liang, Yong Li",https://github.com/henry-yeh/DeepACO,,,
Travelling Salesman Problem; Vehicle Routing Problem;Job Shop Scheduling Problem;Knapsack,Winner Takes It All: Training Performant RL Populations for Combinatorial Optimization,NeurIPS,2023,paper,https://openreview.net/forum?id=v6VpqGcGAR,"Nathan Grinsztajn, Daniel Furelos-Blanco, Shikha Surana, Cl{\'e}ment Bonnet, Thomas D Barrett",,,,
Travelling Salesman Problem; Maximal Cut,Optimizing Solution-Samplers for Combinatorial Problems: The Landscape of Policy-Gradient Methods,NeurIPS,2023,paper,https://openreview.net/forum?id=mmTy1iyU5G,"Constantine Caramanis, Dimitris Fotakis, Alkis Kalavasis, Vasilis Kontonis, Christos Tzamos",https://openreview.net/attachment?id=mmTy1iyU5G&name=supplementary_material,,,
Travelling Salesman Problem; Vehicle Routing Problem;Job Shop Scheduling Problem,Combinatorial Optimization with Policy Adaptation using Latent Space Search,NeurIPS,2023,paper,https://openreview.net/forum?id=vpMBqdt9Hl,"Felix Chalumeau, Shikha Surana, Cl{\'e}ment Bonnet, Nathan Grinsztajn, Arnu Pretorius, Alexandre Laterre, Thomas D Barrett",,,,
Travelling Salesman Problem; Vehicle Routing Problem;Knapsack,Efficient Meta Neural Heuristic for Multi-Objective Combinatorial Optimization,NeurIPS,2023,paper,https://openreview.net/forum?id=593fc38lhN,"Jinbiao Chen, Jiahai Wang, Zizhen Zhang, Zhiguang Cao, Te Ye, Siyuan Chen",https://github.com/bill-cjb/EMNH,,,
Travelling Salesman Problem; Vehicle Routing Problem;Knapsack,BQ-NCO: Bisimulation Quotienting for Efficient Neural Combinatorial Optimization,NeurIPS,2023,paper,https://openreview.net/forum?id=BRqlkTDvvm,"Darko Drakulic, Sofia Michel, Florian Mai, Arnaud Sors, Jean-Marc Andreoli",https://github.com/naver/bq-nco,,,
Travelling Salesman Problem; Vehicle Routing Problem,Neural Combinatorial Optimization with Heavy Decoder: Toward Large Scale Generalization,NeurIPS,2023,paper,https://openreview.net/forum?id=RBI4oAbdpm,"Fu Luo, Xi Lin, Fei Liu, Qingfu Zhang, Zhenkun Wang",https://github.com/CIAM-Group/NCO_code/tree/main/single_objective/LEHD,,,
Travelling Salesman Problem; Vehicle Routing Problem;Knapsack,Neural Multi-Objective Combinatorial Optimization with Diversity Enhancement,NeurIPS,2023,paper,https://openreview.net/forum?id=N4JkStI1fe,"Jinbiao Chen, Zizhen Zhang, Zhiguang Cao, Yaoxin Wu, Yining Ma, Te Ye, Jiahai Wang",https://github.com/bill-cjb/NHDE,,,
Travelling Salesman Problem,Unsupervised Learning for Solving the Travelling Salesman Problem,NeurIPS,2023,paper,https://openreview.net/forum?id=lAEc7aIW20,"Yimeng Min, Yiwei Bai, Carla P Gomes",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Ensemble-based Deep Reinforcement Learning for Vehicle Routing Problems under Distribution Shift,NeurIPS,2023,paper,https://openreview.net/forum?id=HoBbZ1vPAh,"Yuan Jiang, Zhiguang Cao, Yaoxin Wu, Wen Song, Jie Zhang",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Learning to Search Feasible and Infeasible Regions of Routing Problems with Flexible Neural k-Opt,NeurIPS,2023,paper,https://openreview.net/forum?id=q1JukwH2yP,"Yining Ma, Zhiguang Cao, Yeow Meng Chee",https://github.com/yining043/NeuOpt,,,
Travelling Salesman Problem; Maximum Independent Set,⭐T2T: From Distribution Learning in Training to Gradient Search in Testing for Combinatorial Optimization,NeurIPS,2023,paper,https://openreview.net/forum?id=JtF0ugNMv2,"Yang Li, Jinpei Guo, Runzhong Wang, Junchi Yan",https://github.com/Thinklab-SJTU/T2TCO,,,
Travelling Salesman Problem,Combining Reinforcement Learning with Lin-Kernighan-Helsgaun Algorithm for the Traveling Salesman Problem,AAAI,2021,paper,https://ojs.aaai.org/index.php/AAAI/article/view/17476/17283,"Jiongzhi Zheng, Kun He, Jianrong Zhou, Yan Jin, Chu-Min Li",https://github.com/JHL-HUST/VSR-LKH-V2,,,
Travelling Salesman Problem,Reinforced Lin–Kernighan–Helsgaun Algorithms for the Traveling Salesman Problems,Knowledge-Based Systems,2023,journal,https://www.sciencedirect.com/science/article/pii/S0950705122012400,"Jiongzhi Zheng, Kun He, Jianrong Zhou, Yan Jin, Chu-Min Li",https://github.com/JHL-HUST/VSR-LKH-V2,,,
Travelling Salesman Problem; Vehicle Routing Problem,GLOP: Learning Global Partition and Local Construction for Solving Large-Scale Routing Problems in Real-Time,AAAI,2024,paper,https://arxiv.org/abs/2312.08224,"Haoran Ye, Jiarui Wang, Helan Liang, Zhiguang Cao, Yong Li, Fanzhang Li",https://github.com/henry-yeh/GLOP,,,
